ID_OS;STATUS;VEICULO;PLACA;COR;DESCRICAO_SERVICO;VALOR_TOTAL;DATA_ABERTURA;DATA_FECHAMENTO;OBSERVACOES
151;Em Teste;Audi A3;MRI0Q67;Azul;Diagnóstico elétrico, reparo no alternador e substituição da bateria.;1217.97;01/11/2025;;Serviço complexo, tempo de espera pode ser estendido.
152;Em Teste;Ford Ka;KIM5A45;Vermelho;Reparo no sistema de arrefecimento: troca de mangueiras e aditivo.;3343.86;26/09/2025;;Realizar check-up completo em 1 ano.
153;Orçamento Pendente;Chevrolet Onix;YQW9K59;Prata;Reparo no escapamento e substituição do catalisador.;0.0;13/09/2025;;Serviço urgente solicitado pelo cliente devido a viagem.
154;Concluída;Volkswagen Polo;PTE6W71;Cinza;Substituição da correia dentada e tensor.;706.04;06/11/2025;06/11/2025;Cliente solicitou a devolução das peças antigas.
155;Aguardando Peças;Duster;HOI5U70;Prata;Troca do amortecedor e kit batente dianteiro.;581.14;15/10/2025;;Verificar o estado da bateria na próxima revisão.
156;Aguardando Aprovação;Toyota Hilux;WET6Q39;Cinza;Manutenção do sistema de freio ABS.;1161.34;03/10/2025;;Valor do serviço sujeito a alteração caso o câmbio precise ser aberto.
157;Em Andamento;Fiat Palio;NOF4R36;Prata;Substituição do líquido de arrefecimento e limpeza do radiador.;2918.89;10/10/2025;;Realizar check-up completo em 1 ano.
158;Aguardando Aprovação;Volkswagen T-Cross;IWW8P61;Preto;Diagnóstico e reparo na suspensão traseira (molas e coxins).;1092.27;07/10/2025;;Alinhamento e balanceamento realizados com sucesso.
159;Cancelada;Jeep Compass;RUV0M82;Prata;Limpeza de bicos injetores, troca de velas e cabos.;0.0;05/11/2025;05/11/2025;Orçamento não aprovado. Apenas diagnóstico realizado.
160;Cancelada;BMW 320i;INN2T90;Prata;Substituição da bomba de combustível e filtro de linha.;0.0;03/10/2025;08/10/2025;Peças originais utilizadas conforme solicitação do proprietário.
161;Pronto para Retirada;Mitsubishi L200;YEB8G93;Vermelho;Verificação e reparo de vazamento de óleo no cárter.;1026.83;18/09/2025;03/10/2025;Cliente autorizou apenas os itens essenciais da lista.
162;Orçamento Pendente;Peugeot 208;JEY8R87;Vermelho;Troca de embreagem e volante do motor.;0.0;23/10/2025;;Cliente autorizou apenas os itens essenciais da lista.
163;Orçamento Pendente;Chevrolet Tracker;PQP4G19;Cinza;Diagnóstico e reparo na suspensão traseira (molas e coxins).;0.0;12/10/2025;;Verificar o estado da bateria na próxima revisão.
164;Em Andamento;Mitsubishi L200;QZG1Q76;Branco;Reparo em módulo de injeção eletrônica.;1720.44;22/10/2025;;Odor estranho no ar-condicionado resolvido com a higienização.
165;Concluída;Honda Civic;IXT4Z10;Branco;Revisão de 30.000 KM, balanceamento, rodízio de pneus e geometria.;1563.58;23/10/2025;28/10/2025;Necessário trocar pneu traseiro direito urgentemente.
166;Em Andamento;Volkswagen Gol;ZGJ0M16;Cinza;Diagnóstico e reparo na suspensão traseira (molas e coxins).;2131.11;04/10/2025;;Serviço complexo, tempo de espera pode ser estendido.
167;Orçamento Pendente;Volkswagen T-Cross;KUP1M63;Azul;Reparo no sistema de ignição (bobina e velas).;0.0;30/10/2025;;Verificar o estado da bateria na próxima revisão.
168;Aguardando Peças;Fiat Toro;YZL9H58;Vermelho;Verificação e reparo de vazamento de óleo no cárter.;2318.6;31/10/2025;;Check-list de 50 itens realizado e anexo.
169;Em Andamento;Caoa Chery Tiggo 5X;TXL3W92;Branco;Diagnóstico de ruído na direção hidráulica e troca de fluido.;1019.69;18/10/2025;;Carro necessita de polimento geral.
170;Aguardando Peças;Fiat Uno;VYT3T60;Cinza;Manutenção do sistema de freio ABS.;2929.78;07/10/2025;;Problema intermitente na luz do painel resolvido.
171;Aguardando Aprovação;Chevrolet Cruze;PTW3U76;Branco;Diagnóstico e reparo na suspensão traseira (molas e coxins).;809.81;04/10/2025;;Cliente autorizou apenas os itens essenciais da lista.
172;Cancelada;Volkswagen Polo;PUZ1A42;Vermelho;Substituição do líquido de arrefecimento e limpeza do radiador.;0.0;10/09/2025;25/09/2025;Cliente solicitou a devolução das peças antigas.
173;Aguardando Peças;Chevrolet Tracker;NYI6S47;Azul;Substituição do líquido de arrefecimento e limpeza do radiador.;1552.76;13/09/2025;;Check-list de 50 itens realizado e anexo.
174;Cancelada;Mercedes-Benz C180;NLN5T52;Branco;Substituição do líquido de arrefecimento e limpeza do radiador.;0.0;11/10/2025;23/10/2025;Próxima revisão em 6 meses ou 10.000 KM.
175;Concluída;Chevrolet Cruze;URO3Q87;Vermelho;Funilaria e pintura do para-choque dianteiro e porta do motorista.;1927.58;09/09/2025;20/09/2025;Limpeza interna básica inclusa no pacote de revisão.
176;Em Andamento;Volkswagen Gol;JHC9S38;Branco;Reparo no sistema de arrefecimento: troca de mangueiras e aditivo.;3037.2;27/10/2025;;Apenas a lavagem completa foi autorizada neste momento.
177;Aguardando Aprovação;Fiat Strada;DGG4G66;Branco;Reparo de vidros elétricos: troca do motor e máquina.;3152.26;30/09/2025;;Pequeno risco na lateral esquerda notado na entrada.
178;Pronto para Retirada;Fiat Toro;THB3P46;Azul;Substituição da correia dentada e tensor.;2556.69;31/10/2025;01/11/2025;Veículo liberado após teste de rodagem sem ruídos.
179;Em Andamento;Renault Kwid;FDE8P21;Vermelho;Reparo no sistema de ignição (bobina e velas).;3280.94;02/10/2025;;Não foi possível testar o veículo com carga total.
180;Orçamento Pendente;Renault Sandero;MOB6W49;Prata;Limpeza de bicos injetores, troca de velas e cabos.;0.0;14/10/2025;;Peças originais utilizadas conforme solicitação do proprietário.
181;Cancelada;Hyundai Creta;JHL4V83;Prata;Reparo no sistema de ignição (bobina e velas).;0.0;26/09/2025;28/09/2025;Utilizado óleo sintético 5W30.
182;Em Andamento;Renault Kwid;UDG6O14;Prata;Troca do amortecedor e kit batente dianteiro.;921.34;05/11/2025;;Limpeza interna básica inclusa no pacote de revisão.
183;Em Teste;Mercedes-Benz C180;IUR9C81;Cinza;Reparo no sistema de ignição (bobina e velas).;950.49;30/10/2025;;Odor estranho no ar-condicionado resolvido com a higienização.
184;Em Teste;Fiat Strada;VAT7O60;Prata;Troca de embreagem e volante do motor.;354.17;03/11/2025;;Limpeza interna básica inclusa no pacote de revisão.
185;Em Andamento;Toyota Hilux;ADQ0K46;Cinza;Troca de pneus e válvulas.;2787.65;21/10/2025;;Limpeza interna básica inclusa no pacote de revisão.
186;Em Andamento;Chevrolet Cruze;PGO3P45;Azul;Reparo no sistema de arrefecimento: troca de mangueiras e aditivo.;1516.93;24/10/2025;;Realizar check-up completo em 1 ano.
187;Pronto para Retirada;Renault Kwid;VTQ7B76;Azul;Revisão de caixa de câmbio manual e troca de óleo lubrificante.;2055.59;29/09/2025;06/10/2025;Problema intermitente na luz do painel resolvido.
188;Cancelada;Caoa Chery Tiggo 5X;QVU6G44;Cinza;Revisão de nível de fluídos e calibragem de pneus.;0.0;20/10/2025;04/11/2025;Retorno agendado para 30 dias para checagem do reparo.
189;Cancelada;Renault Kwid;ZAQ5Y77;Prata;Substituição da bomba de combustível e filtro de linha.;0.0;22/09/2025;26/09/2025;Apenas a lavagem completa foi autorizada neste momento.
190;Cancelada;Fiat Argo;ZKY0M47;Prata;Remoção de amassado sem pintura (PDR) no capô.;0.0;22/10/2025;01/11/2025;Recomendamos a troca do filtro de combustível.
191;Aguardando Peças;Hyundai HB20;VIC1T58;Preto;Funilaria e pintura do para-choque dianteiro e porta do motorista.;451.82;24/10/2025;;Alinhamento e balanceamento realizados com sucesso.
192;Orçamento Pendente;Fiat Toro;MTJ9F65;Azul;Troca de embreagem e volante do motor.;0.0;13/09/2025;;Check-list de 50 itens realizado e anexo.
193;Cancelada;Citroën C3;HWG3U58;Azul;Substituição da bomba de combustível e filtro de linha.;0.0;24/09/2025;27/09/2025;Não foi possível testar o veículo com carga total.
194;Aguardando Aprovação;Chevrolet Cruze;MHE1U20;Preto;Funilaria e pintura do para-choque dianteiro e porta do motorista.;2738.12;14/10/2025;;Limpeza interna básica inclusa no pacote de revisão.
195;Aguardando Peças;Chevrolet Celta;HIX0P97;Vermelho;Diagnóstico de ruído na direção hidráulica e troca de fluido.;2373.9;29/10/2025;;Limpeza interna básica inclusa no pacote de revisão.
196;Aguardando Peças;Hyundai Creta;TWY7V84;Preto;Troca do amortecedor e kit batente dianteiro.;694.36;15/10/2025;;Necessário troca das palhetas do limpador de para-brisa.
197;Orçamento Pendente;Chevrolet Tracker;FIT4Y74;Azul;Reparo no sistema de ignição (bobina e velas).;0.0;11/10/2025;;Veículo com quilometragem alta, atentar aos fluídos.
198;Aguardando Peças;Ford Ka;NQO8C57;Branco;Funilaria e pintura do para-choque dianteiro e porta do motorista.;1339.24;22/10/2025;;O valor não inclui o serviço de funilaria que será tratado separadamente.
199;Concluída;Toyota Corolla;WII5U54;Preto;Reparo no sistema de arrefecimento: troca de mangueiras e aditivo.;2640.13;02/11/2025;05/11/2025;Não foi possível testar o veículo com carga total.
200;Aguardando Peças;Toyota Hilux;LNW3U26;Azul;Funilaria e pintura do para-choque dianteiro e porta do motorista.;1216.67;17/10/2025;;Veículo liberado após teste de rodagem sem ruídos.
